epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,447.538,1.18137,0.94198,1.04592,0.9563,1,0.995,0.995,0.29589,0.44497,0.73011,0.0005348,0.0005348,0.0005348
76,454.219,1.18301,0.95906,1.04392,0.95953,1,0.995,0.8955,0.45629,0.42638,0.75193,0.000515,0.000515,0.000515
77,459.936,1.18037,0.94092,1.04309,0.95247,1,0.995,0.995,0.45136,0.4778,0.75426,0.0004952,0.0004952,0.0004952
78,466.542,1.19013,0.93938,1.0313,0.9514,1,0.995,0.995,0.33993,0.58903,0.73824,0.0004754,0.0004754,0.0004754
79,472.337,1.16924,0.94841,1.03484,0.95009,1,0.995,0.995,0.24434,0.54477,0.7354,0.0004556,0.0004556,0.0004556
80,475.221,1.15514,0.92505,1.02661,0.93371,1,0.995,0.8955,0.35615,0.62451,0.74462,0.0004358,0.0004358,0.0004358
81,481.303,1.16636,0.91292,1.01821,0.94596,1,0.995,0.995,0.31707,0.56395,0.73911,0.000416,0.000416,0.000416
82,487.366,1.12804,0.8977,1.01938,0.9581,1,0.995,0.995,0.30801,0.46276,0.73302,0.0003962,0.0003962,0.0003962
83,493.877,1.14939,0.92423,1.03872,0.9601,1,0.995,0.995,0.32966,0.41044,0.73473,0.0003764,0.0003764,0.0003764
84,500.581,1.13603,0.89378,1.02172,0.95372,1,0.995,0.8955,0.34161,0.38314,0.73341,0.0003566,0.0003566,0.0003566
85,504.687,1.13436,0.89472,1.02266,0.96148,1,0.995,0.8955,0.35772,0.47749,0.73422,0.0003368,0.0003368,0.0003368
86,510.9,1.1352,0.8941,1.02122,0.9589,1,0.995,0.995,0.31033,0.41055,0.73094,0.000317,0.000317,0.000317
87,516.992,1.12272,0.8942,1.01923,0.95333,1,0.995,0.995,0.28109,0.39018,0.72659,0.0002972,0.0002972,0.0002972
88,523.883,1.07952,0.87151,1.00156,0.95482,1,0.995,0.995,0.3082,0.44013,0.72984,0.0002774,0.0002774,0.0002774
89,530.859,1.11758,0.8751,1.0114,0.95821,1,0.995,0.995,0.24428,0.40984,0.71766,0.0002576,0.0002576,0.0002576
90,534.177,1.09392,0.86383,1.00551,0.95085,1,0.995,0.995,0.32352,0.44051,0.72848,0.0002378,0.0002378,0.0002378
91,541.944,1.10571,0.90212,1.01285,0.94393,1,0.995,0.995,0.25333,0.46889,0.71767,0.000218,0.000218,0.000218
92,548.194,1.09653,0.86647,1.0075,0.94172,1,0.995,0.995,0.2162,0.48094,0.71259,0.0001982,0.0001982,0.0001982
93,554.642,1.08064,0.85302,1.00065,0.93067,1,0.995,0.995,0.16605,0.41704,0.71011,0.0001784,0.0001784,0.0001784
94,560.946,1.06386,0.83716,0.99674,0.96127,1,0.995,0.995,0.27856,0.37439,0.72268,0.0001586,0.0001586,0.0001586
95,565.142,1.04076,0.82679,0.98821,0.94711,1,0.995,0.995,0.25764,0.41089,0.71921,0.0001388,0.0001388,0.0001388
96,571.439,1.06025,0.83865,0.99361,0.95318,1,0.995,0.995,0.24613,0.34665,0.71871,0.000119,0.000119,0.000119
97,577.93,1.05666,0.84608,1.0149,0.94917,1,0.995,0.995,0.23392,0.38695,0.71716,9.92e-05,9.92e-05,9.92e-05
98,584.465,1.04548,0.82932,0.99234,0.95279,1,0.995,0.995,0.21781,0.34593,0.71406,7.94e-05,7.94e-05,7.94e-05
99,591.118,1.04247,0.8096,0.98506,0.94621,1,0.995,0.995,0.20551,0.40584,0.71135,5.96e-05,5.96e-05,5.96e-05
100,594.6,1.04818,0.81362,0.98561,0.94667,1,0.995,0.995,0.22511,0.39026,0.71448,3.98e-05,3.98e-05,3.98e-05
